,window_size(minutes),dt(minutes),max_dist(deg),min_samples,grid_km,pred(hours),thr(%),thr_future(%),tn,fp,fn,tp,roc_auc,accuracy,precision,recall,f1,hss,hss2,tss,csi,n_cases,gauss_bandwith
529,0 days 00:15:00,0 days 00:45:00,0.2,3,2,4,6.153950608737505e-58,0.7,52644612,25733365,781388,2188935,0.7717496851302824,0.6740589170271536,0.07839379277495048,0.7369350067315912,0.14171247290979466,0.08105697348074152,0.04052848674037071,0.4086110822700042,0.07625971268918474,747,0.1
530,0 days 00:15:00,0 days 00:45:00,0.2,3,2,4,6.154878962257383e-58,0.6,52815485,26194068,610527,1728220,0.7716160787700845,0.6704959415255144,0.06189392502505525,0.7389512418401819,0.11422081234167965,0.06459209902024905,0.03229604951012442,0.4074208508253131,0.060569558243727444,747,0.1
531,0 days 00:15:00,0 days 00:45:00,0.2,3,2,4,6.154878962257383e-58,0.5,52954324,26574576,471688,1347712,0.7715243759670346,0.6675251480362835,0.04826653173980585,0.7407453006485655,0.09062780834766337,0.05076490948554521,0.025382454742772557,0.406595375275525,0.04746471575520103,747,0.1
532,0 days 00:15:00,0 days 00:45:00,0.2,3,2,5,8.179661818783538e-72,0.99,48356227,24947988,2381832,5662253,0.7389743929678896,0.6640394452004529,0.1849790401846232,0.7039026812869332,0.2929686576348531,0.16167662044340822,0.08083831022170405,0.36356770873453637,0.17162465056378845,747,0.1
533,0 days 00:15:00,0 days 00:45:00,0.2,3,2,5,4.954303032270722e-69,0.95,49621194,25836893,1744738,4145475,0.7387297605494967,0.6609439779319297,0.13826376222184986,0.7037903383120441,0.23112220444913065,0.12524505903220803,0.06262252951610407,0.3613897550584559,0.13066035710915455,747,0.1
534,0 days 00:15:00,0 days 00:45:00,0.2,3,2,5,4.65433889391915e-68,0.9,50170788,26369539,1417225,3390748,0.7390611681299039,0.6584223149100842,0.11393532595972612,0.7052344095942302,0.19617695539202723,0.10510720621543386,0.052553603107716895,0.3607161662896256,0.10875620864166455,747,0.1
535,0 days 00:15:00,0 days 00:45:00,0.2,3,2,5,4.389188974596782e-67,0.8,50758114,26993364,1054710,2542112,0.7395357298162744,0.6552100781454561,0.08606978265730338,0.7067661396644037,0.15345219942184513,0.08100782091318398,0.04050391045659195,0.35959120879042084,0.08310220800880387,747,0.1
536,0 days 00:15:00,0 days 00:45:00,0.2,3,2,5,4.8025077561306434e-70,0.7,50343652,28192101,791872,2020675,0.7403771071094041,0.6437052403061896,0.066881474247848,0.7184502161208328,0.12237124826909342,0.0631037842948613,0.031551892147430656,0.3594786659276361,0.06517329272694855,747,0.1
537,0 days 00:15:00,0 days 00:45:00,0.2,3,2,5,5.524748610359007e-70,0.6,50529992,28604050,619284,1594974,0.7409065301455422,0.6407628186452575,0.0528154154915735,0.7203198543259186,0.0984148411752935,0.05024312929549302,0.02512156464774646,0.35885657914025326,0.05175410668230066,747,0.1
538,0 days 00:15:00,0 days 00:45:00,0.2,3,2,5,6.2235493329893576e-77,0.5,49171975,30454528,442847,1278950,0.74197296303307,0.6201841341490849,0.0403028624848496,0.7427995286320048,0.07645730008197513,0.03782314339362641,0.01891157169681316,0.36033229909663267,0.03974816887882628,747,0.1
539,0 days 00:15:00,0 days 00:45:00,0.2,3,2,6,4.0669348603933483e-78,0.99,47832224,26033214,2447179,5035683,0.709708361774462,0.6498956585448006,0.16208116432327804,0.6729621634075305,0.26124271009268346,0.13264689881801806,0.06632344940900899,0.32052109347168306,0.15024679500070354,747,0.1
540,0 days 00:15:00,0 days 00:45:00,0.2,3,2,6,2.1664031379924275e-75,0.95,49063068,26819994,1786727,3678511,0.7100759127673759,0.6483427311941368,0.1206128300387183,0.6730742558695523,0.20456775035902133,0.102274276102901,0.05113713805145053,0.31963577706910534,0.11393788342608162,747,0.1
